45.03626,-93.52265
45.04913,-93.52222
45.05102,-93.52239
45.05129,-93.52219
45.05292,-93.52223
45.05381,-93.52206
45.06556,-93.52208
45.06547,-93.51909
45.06506,-93.51773
45.06549,-93.51773
45.06567,-93.49719
45.06551,-93.49428
45.0656,-93.48172
45.06575,-93.48095
45.06547,-93.44876
45.06554,-93.44742
45.06639,-93.44662
45.06557,-93.44455
45.06449,-93.44086
45.06556,-93.44019
45.0656,-93.42961
45.06543,-93.42395
45.0657,-93.4056
45.06559,-93.40069
45.04749,-93.4008
45.01492,-93.40064
45.00316,-93.40088
44.98212,-93.40061
44.97857,-93.40043
44.97856,-93.41568
44.97884,-93.43089
44.97874,-93.44095
44.97895,-93.4432
44.97872,-93.44479
44.97847,-93.47158
44.97862,-93.47544
44.97844,-93.48202
44.9786,-93.49559
44.97846,-93.50215
44.98225,-93.50224
44.97853,-93.50858
44.97834,-93.50902
44.97826,-93.51073
44.97926,-93.51093
44.98016,-93.51173
44.98196,-93.51183
44.9822,-93.52026
44.98196,-93.52254
45.02898,-93.52221
45.03626,-93.52265

45.00216,-93.42783
44.99986,-93.42623
44.99956,-93.42383
44.99766,-93.42203
44.99526,-93.42153
44.99312,-93.42143
44.99313,-93.41953
44.99266,-93.41954
44.99269,-93.42005
44.99216,-93.42008
44.99216,-93.41735
44.99277,-93.41712
44.99276,-93.41576
44.99326,-93.41583
44.99317,-93.41701
44.99367,-93.41699
44.99376,-93.41643
44.99376,-93.41553
44.99456,-93.41543
44.99437,-93.41507
44.99491,-93.41471
44.9953,-93.41577
44.99554,-93.41559
44.99568,-93.41591
44.99596,-93.41571
44.99592,-93.41552
44.99736,-93.41383
45.00416,-93.41953
45.00546,-93.42273
45.00476,-93.42613
45.00216,-93.42783

